method,vulnerability,noise_type,noise_rate,noise_bucket,F1 score,Precision,Recall,Accuracy,TP,TN,FP,FN,noise_sort
Ablation_woTransformer,dos_failed_call,fn_noise,0.2,0.2,0.0,0.0,0.0,0.85,0,34,0,6,0.2
Ablation_woTransformer,dos_failed_call,fn_noise,0.3,0.3,0.2857142857142857,1.0,0.16666666666666666,0.875,1,34,0,5,0.3
Ablation_woTransformer,dos_failed_call,pure,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.8,2,30,4,4,0.0
Ablation_woTransformer,integer_overflow,fn_noise,0.1,0.1,0.375,0.5217391304347826,0.2926829268292683,0.8387096774193549,12,196,11,29,0.1
Ablation_woTransformer,integer_overflow,fn_noise,0.2,0.2,0.48,0.5294117647058824,0.43902439024390244,0.842741935483871,18,191,16,23,0.2
Ablation_woTransformer,integer_overflow,fn_noise,0.3,0.3,0.047619047619047616,1.0,0.024390243902439025,0.8387096774193549,1,207,0,40,0.3
Ablation_woTransformer,integer_overflow,pure,0.0,0.0,0.12244897959183672,0.375,0.07317073170731707,0.8266129032258065,3,202,5,38,0.0
Ablation_woTransformer,reentrancy,fn_noise,0.1,0.1,0.27906976744186046,0.6,0.18181818181818182,0.8465346534653465,6,165,4,27,0.1
Ablation_woTransformer,reentrancy,fn_noise,0.2,0.2,0.0,0.0,0.0,0.8316831683168316,0,168,1,33,0.2
Ablation_woTransformer,reentrancy,fn_noise,0.3,0.3,0.15000000000000002,0.42857142857142855,0.09090909090909091,0.8316831683168316,3,165,4,30,0.3
Ablation_woTransformer,reentrancy,pure,0.0,0.0,0.4126984126984127,0.43333333333333335,0.3939393939393939,0.8168316831683168,13,152,17,20,0.0
Ablation_woTransformer,time_dependency,fn_noise,0.1,0.1,0.0,0.0,0.0,0.84375,0,54,0,10,0.1
Ablation_woTransformer,time_dependency,fn_noise,0.2,0.2,0.0,0.0,0.0,0.84375,0,54,0,10,0.2
Ablation_woTransformer,time_dependency,fn_noise,0.3,0.3,0.0,0.0,0.0,0.84375,0,54,0,10,0.3
Ablation_woTransformer,time_dependency,pure,0.0,0.0,0.0,0.0,0.0,0.84375,0,54,0,10,0.0
